lr,batch_size,dropout,fold,trained_epochs,train_loss,train_acc,train_UF1,train_UAR,train_f1_micro,train_recall_micro,val_loss,val_acc,val_UF1,val_UAR,val_f1_micro,val_recall_micro,train_time_sec
1e-05,128,0.5,16,14,0.07111587353460612,0.9742628550880978,0.9775350872592037,0.977003952190399,0.9742628550880978,0.9742628550880978,0.0009557985780432958,1.0,1.0,1.0,1.0,1.0,785.890495300293
1e-05,128,0.5,17,18,0.04169814051768037,0.9851779549192922,0.9874439818800027,0.987196845297586,0.9851779549192922,0.9851779549192922,0.009480024687945843,1.0,1.0,1.0,1.0,1.0,911.0093412399292
1e-05,128,0.5,18,9,0.1677816987209678,0.9382665945165946,0.9461221618981056,0.9436644596306615,0.9382665945165946,0.9382665945165946,0.005201501668327385,1.0,1.0,1.0,1.0,1.0,617.0418956279755
1e-05,128,0.5,19,15,0.061542044691482556,0.977922195143966,0.9809156458164185,0.9810264083780283,0.977922195143966,0.977922195143966,0.00280867983522999,1.0,1.0,1.0,1.0,1.0,813.1193952560425
1e-05,128,0.5,20,11,0.11016573049920068,0.9597570235383447,0.9656604151887258,0.9648530945458741,0.9597570235383447,0.9597570235383447,0.010724782012403011,1.0,1.0,1.0,1.0,1.0,679.452639579773
1e-05,128,0.5,21,1,1.3136298827753972,0.4558068481758687,0.2862770582957569,0.27961453499692235,0.4558068481758687,0.4558068481758687,0.1307273805141449,1.0,1.0,1.0,1.0,1.0,358.1192967891693
1e-05,128,0.5,22,18,0.0438156797013449,0.9841617933723197,0.9868542652005786,0.9867814163247817,0.9841617933723197,0.9841617933723197,0.004077622707376981,1.0,1.0,1.0,1.0,1.0,911.5472502708435
1e-05,128,0.5,23,14,0.07204028935192595,0.9735355176459969,0.9774242440544693,0.9776731764741757,0.9735355176459969,0.9735355176459969,0.005389839036841736,1.0,1.0,1.0,1.0,1.0,780.1289260387421
1e-05,128,0.5,24,11,0.11839205156475756,0.9573601401759425,0.9630003222807714,0.9619294157396295,0.9573601401759425,0.9573601401759425,0.004156406503170729,1.0,1.0,1.0,1.0,1.0,683.3887226581573
1e-05,128,0.5,25,14,0.07144419430603931,0.9744630200724991,0.9772777707358189,0.9766644103068792,0.9744630200724991,0.9744630200724991,0.0039663944013715036,1.0,1.0,1.0,1.0,1.0,778.8115060329437
1e-05,256,0.0,0,2,0.00115396071035241,1.0,1.0,1.0,1.0,1.0,0.00027720906655304134,1.0,1.0,1.0,1.0,1.0,261.1291446685791
1e-05,256,0.0,1,1,0.23289397862120811,0.9186833414541714,0.9108067218812457,0.8836390693744421,0.9186833414541714,0.9186833414541714,0.004991554189473391,1.0,1.0,1.0,1.0,1.0,241.4718074798584
1e-05,256,0.0,2,1,0.2361623149735098,0.9153073574305894,0.9098213518233277,0.8800255962545842,0.9153073574305894,0.9153073574305894,0.008822892792522907,1.0,1.0,1.0,1.0,1.0,239.24963760375977
1e-05,256,0.0,3,1,0.22559582828122265,0.9199960246471874,0.9192186043277933,0.8936394018783924,0.9199960246471874,0.9199960246471874,0.0056880321353673935,1.0,1.0,1.0,1.0,1.0,241.9323868751526
1e-05,256,0.0,4,2,0.007307916620504068,0.9978726089386482,0.9984942384796017,0.9983325203749851,0.9978726089386482,0.9978726089386482,0.0006289481228266499,1.0,1.0,1.0,1.0,1.0,265.24674677848816
1e-05,256,0.0,5,1,0.21400515779286697,0.9243327731699825,0.919749961297914,0.8940013969759603,0.9243327731699825,0.9243327731699825,0.0027548710349947214,1.0,1.0,1.0,1.0,1.0,239.3188328742981
1e-05,256,0.0,6,1,0.23551875154771607,0.9155154667100059,0.9115582411270765,0.8826099180013729,0.9155154667100059,0.9155154667100059,0.0029316542204469442,1.0,1.0,1.0,1.0,1.0,242.66332507133484
1e-05,256,0.0,7,1,0.22558146197899112,0.9205664913327187,0.9099870334440913,0.8901272343940659,0.9205664913327187,0.9205664913327187,0.004249942023307085,1.0,1.0,1.0,1.0,1.0,240.83409714698792
1e-05,256,0.0,8,1,0.22649373171523962,0.9200046912778319,0.9150913857312698,0.891138306263029,0.9200046912778319,0.9200046912778319,0.002397647826001048,1.0,1.0,1.0,1.0,1.0,241.31308102607727
